Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t26Ved14.xlsx;Организации, получившие убыток от продаж: в том числе: коммерческие и управленческие расходы;OrgPolUbyOtProVToChiKomIUprRas;15;;Организации, получившие убыток от продаж: в том числе: коммерческие и управленческие расходы;Организации, получившие убыток от продаж: в том числе: коммерческие и управленческие расходы
T24_000000_t26Ved14.xlsx;Организации, получившие убыток от продаж: убыточность в % :;OrgPolUbyOtProUbyV%:;16;17;Организации, получившие убыток от продаж: убыточность в % :;Организации, получившие убыток от продаж: убыточность в % :
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: всем активам;PriUby(-DoNalV%K:VsAkt;3;;Прибыль, убыток (-) до налогообложения в % к: всем активам;Прибыль, убыток (-) до налогообложения в % к: всем активам
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: внеоборотным активам;PriUby(-DoNalV%K:VneAkt;4;;Прибыль, убыток (-) до налогообложения в % к: внеоборотным активам;Прибыль, убыток (-) до налогообложения в % к: внеоборотным активам
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: оборотным активам;PriUby(-DoNalV%K:OboAkt;5;;Прибыль, убыток (-) до налогообложения в % к: оборотным активам;Прибыль, убыток (-) до налогообложения в % к: оборотным активам
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: капиталу и резервам;PriUby(-DoNalV%K:KapIRez;6;;Прибыль, убыток (-) до налогообложения в % к: капиталу и резервам;Прибыль, убыток (-) до налогообложения в % к: капиталу и резервам
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: долгосрочным обязательствам;PriUby(-DoNalV%K:DolOby;7;;Прибыль, убыток (-) до налогообложения в % к: долгосрочным обязательствам;Прибыль, убыток (-) до налогообложения в % к: долгосрочным обязательствам
T24_000000_t27Ved14.xlsx;Прибыль, убыток (-) до налогообложения в % к: краткосрочным обязательствам;PriUby(-DoNalV%K:KraOby;8;;Прибыль, убыток (-) до налогообложения в % к: краткосрочным обязательствам;Прибыль, убыток (-) до налогообложения в % к: краткосрочным обязательствам
T24_000000_t27Ved14.xlsx;Финансовый результат убыточных организаций в % к итогу актива убыточных организаций;FinRezUbyOrgV%KItoAktUbyOrg;9;;Финансовый результат убыточных организаций в % к итогу актива убыточных организаций;Финансовый результат убыточных организаций в % к итогу актива убыточных организаций
T24_000000_t27Ved14.xlsx;Прибыль от финансовых вложений в % ко всем финансовым вложениям;PriOtFinVloV%KoVsFinVlo;10;;Прибыль от финансовых вложений в % ко всем финансовым вложениям;Прибыль от финансовых вложений в % ко всем финансовым вложениям
T24_000000_t27Ved14.xlsx;Чистая прибыль (убыток) в % ко всем активам;ChiPriUby(-DoNalV%K:VsAkt;11;;Чистая прибыль (убыток) в % ко всем активам;Чистая прибыль (убыток) в % ко всем активам
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% Количество организаций (единиц);KoeTekLikDo<10KolOrg(ed;3;;Коэффициент текущей ликвидности до < 100% Количество организаций (единиц);Коэффициент текущей ликвидности до < 100% Количество организаций (единиц)
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% в % к общему количеству;KoeTekLikDo<10V%KObsKol;4;;Коэффициент текущей ликвидности до < 100% в % к общему количеству;Коэффициент текущей ликвидности до < 100% в % к общему количеству
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% Дебиторская задолженность;KoeTekLikDo<10DebZad;5;;Коэффициент текущей ликвидности до < 100% Дебиторская задолженность;Коэффициент текущей ликвидности до < 100% Дебиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% в % к общей задолженности;KoeTekLikDo<10V%KObsZad;6;;Коэффициент текущей ликвидности до < 100% в % к общей задолженности;Коэффициент текущей ликвидности до < 100% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% в % к общей задолженности;KoeTekLikDo<10V%KObsZadKre;8;;Коэффициент текущей ликвидности до < 100% в % к общей задолженности;Коэффициент текущей ликвидности до < 100% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% Кредиторская задолженность;KoeTekLikDo<10KreZad;7;;Коэффициент текущей ликвидности до < 100% Кредиторская задолженность;Коэффициент текущей ликвидности до < 100% Кредиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% Денежные средства и денежные эквиваленты;KoeTekLikDo<10DenSreIDenEkv;9;;Коэффициент текущей ликвидности до < 100% Денежные средства и денежные эквиваленты;Коэффициент текущей ликвидности до < 100% Денежные средства и денежные эквиваленты
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности до < 100% в % ко всем денежным средствам денежным эквивалентам;KoeTekLikDo<10V%KoVsDenSreDenEkv;10;;Коэффициент текущей ликвидности до < 100% в % ко всем денежным средствам денежным эквивалентам;Коэффициент текущей ликвидности до < 100% в % ко всем денежным средствам денежным эквивалентам
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% Количество организаций (единиц);KoeTekLikOt>=10Do<20KolOrg(ed;11;;Коэффициент текущей ликвидности от > = 100% до < 200% Количество организаций (единиц);Коэффициент текущей ликвидности от > = 100% до < 200% Количество организаций (единиц)
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общему количеству;KoeTekLikOt>=10Do<20V%KObsKol;12;;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общему количеству;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общему количеству
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% Дебиторская задолженность;KoeTekLikOt>=10Do<20DebZad;13;;Коэффициент текущей ликвидности от > = 100% до < 200% Дебиторская задолженность;Коэффициент текущей ликвидности от > = 100% до < 200% Дебиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности;KoeTekLikOt>=10Do<20V%KObsZad;14;;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности;KoeTekLikOt>=10Do<20V%KObsZadKre;16;;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности;Коэффициент текущей ликвидности от > = 100% до < 200% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% Кредиторская задолженность;KoeTekLikOt>=10Do<20KreZad;15;;Коэффициент текущей ликвидности от > = 100% до < 200% Кредиторская задолженность;Коэффициент текущей ликвидности от > = 100% до < 200% Кредиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% Денежные средства и денежные эквиваленты;KoeTekLikOt>=10Do<20DenSreIDenEkv;17;;Коэффициент текущей ликвидности от > = 100% до < 200% Денежные средства и денежные эквиваленты;Коэффициент текущей ликвидности от > = 100% до < 200% Денежные средства и денежные эквиваленты
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 100% до < 200% в % ко всем денежным средствам денежным эквивалентам;KoeTekLikOt>=10Do<20V%KoVsDenSreDenEkv;18;;Коэффициент текущей ликвидности от > = 100% до < 200% в % ко всем денежным средствам денежным эквивалентам;Коэффициент текущей ликвидности от > = 100% до < 200% в % ко всем денежным средствам денежным эквивалентам
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% Количество организаций (единиц);KoeTekLikOt>=20KolOrg(ed;19;;Коэффициент текущей ликвидности от > = 200% Количество организаций (единиц);Коэффициент текущей ликвидности от > = 200% Количество организаций (единиц)
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% в % к общему количеству;KoeTekLikOt>=20V%KObsKol;20;;Коэффициент текущей ликвидности от > = 200% в % к общему количеству;Коэффициент текущей ликвидности от > = 200% в % к общему количеству
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% Дебиторская задолженность;KoeTekLikOt>=20DebZad;21;;Коэффициент текущей ликвидности от > = 200% Дебиторская задолженность;Коэффициент текущей ликвидности от > = 200% Дебиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности;KoeTekLikOt>=20V%KObsZad;22;;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности;KoeTekLikOt>=20V%KObsZadKre;24;;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности;Коэффициент текущей ликвидности от > = 200% в % к общей задолженности
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% Кредиторская задолженность;KoeTekLikOt>=20KreZad;23;;Коэффициент текущей ликвидности от > = 200% Кредиторская задолженность;Коэффициент текущей ликвидности от > = 200% Кредиторская задолженность
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% Денежные средства и денежные эквиваленты;KoeTekLikOt>=20DenSreIDenEkv;25;;Коэффициент текущей ликвидности от > = 200% Денежные средства и денежные эквиваленты;Коэффициент текущей ликвидности от > = 200% Денежные средства и денежные эквиваленты
T24_000000_t28Ved14.xlsx;Коэффициент текущей ликвидности от > = 200% в % ко всем денежным средствам денежным эквивалентам;KoeTekLikOt>=20V%KoVsDenSreDenEkv;26;;Коэффициент текущей ликвидности от > = 200% в % ко всем денежным средствам денежным эквивалентам;Коэффициент текущей ликвидности от > = 200% в % ко всем денежным средствам денежным эквивалентам
T24_000000_t35Ved14.xlsx;Уставный капитал;UstKap;3;4;"""2022"",""предыдущий"",""Уставный капитал""";"""2023"",""конец"",""Уставный капитал"""
T24_000000_t29Ved14.xlsx;Поступления по текущей деятельности - всего;PostPoTekDeVsego;3;;Поступления по текущей деятельности - всего
T24_000000_t29Ved14.xlsx;от продажи продукции, товаров, работ и услуг;OtProdDeVsego;4;;от продажи продукции, товаров, работ и услуг
T24_000000_t29Ved14.xlsx;арендные платежи, лицензионные платежи, роялти, комиссионные и иные аналогичные платежи;ArendPlDeVsego;5;;арендные платежи, лицензионные платежи, роялти, комиссионные и иные аналогичные платежи
T24_000000_t29Ved14.xlsx;от переподажи финансовых вложений;OtPereprodFinVlozh;6;;от переподажи финансовых вложений
T24_000000_t29Ved14.xlsx;Поступления по текущей деятельности прочие поступления;PrTekDeVsego;7;;прочие поступления
T24_000000_t29Ved14.xlsx;Платежи по текущей деятельности - всего;PlatPoTekDeVsego;8;;Платежи по текущей деятельности - всего
T24_000000_t29Ved14.xlsx;поставщикам (подрядчикам) за сырье, материалы, работы, услуги;PostavPoSyrMatRabUsl;9;;поставщикам (подрядчикам) за сырье, материалы, работы, услуги
T24_000000_t29Ved14.xlsx;в связи с оплатой труда работников;VSvyaziSOplTrudRab;10;;в связи с оплатой труда работников
T24_000000_t29Ved14.xlsx;процентов по долговым обязательствам;ProcPoDolgObyaz;11;;процентов по долговым обязательствам
T24_000000_t29Ved14.xlsx;налога на прибыль;NalogNaPri;12;;налога на прибыль
T24_000000_t29Ved14.xlsx;Платежи по текущей деятельности прочие платежи;ProchiePlatezhi;13;;прочие платежи
T24_000000_t29Ved14.xlsx;Сальдо денежных потоков от текущих операций;SaldoDenPotTekOper;14;;Сальдо денежных потоков от текущих операций
T24_000000_t29Ved14.xlsx;Поступления  денежных средств по инвестиционной деятельности - всего;PostDenSredInvDeVsego;15;;Поступления  денежных средств по инвестиционной деятельности - всего
T24_000000_t29Ved14.xlsx;от продажи внеоборотных активов (кроме финансовых  вложений);OtProdVneObAktKromeFinVlozh;16;;от продажи внеоборотных активов (кроме финансовых  вложений)
T24_000000_t29Ved14.xlsx;от продажи акций других организаций (долей участия);OtProdAkcOrgDolUch;17;;от продажи акций других организаций (долей участия)
T24_000000_t29Ved14.xlsx;предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам);OtProdFinVlozh;18;;предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам)
T24_000000_t29Ved14.xlsx;дивидентов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях;DivProcDolgFinVlozh;19;;от продажи акций других организаций (долей участия)
T24_000000_t29Ved14.xlsx;Поступления по инвестиционной деятельности прочие поступления;PrPostDeyt;20;;прочие поступления
T24_000000_t29Ved14.xlsx;Платежи по инвестиционной деятельности - всего;PlPoInvDeyt;21;;Платежи по инвестиционной деятельности - всего
T24_000000_t29Ved14.xlsx;в связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов;Modern;22;;в связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов
T24_000000_t29Ved14.xlsx;в связи с приобретением акций других организаций (долей участия);DolUch;23;;в связи с приобретением акций других организаций (долей участия)
T24_000000_t29Ved14.xlsx;в связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам;PrCenBum;24;;в связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам
T24_000000_t29Ved14.xlsx;процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива;ProcDolgObyazVklInvAkt;25;;процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива
T24_000000_t29Ved14.xlsx;Платежи по инвестиционной деятельности прочие платежи;PrPl;26;;прочие платежи
T24_000000_t29Ved14.xlsx;Сальдо денежных потоков от инвестиционных операций;Saldo;27;;Сальдо денежных потоков от инвестиционных операций
T24_000000_t29Ved14.xlsx;Поступления по финансовой деятельности - всего;PostFin;28;;Поступления по финансовой деятельности - всего
T24_000000_t29Ved14.xlsx;получение кредитов и займов;PlCredit;29;;получение кредитов и займов
T24_000000_t29Ved14.xlsx;денежных вкладов собственников (участников);PostDeyt;30;;денежных вкладов собственников (участников)
T24_000000_t29Ved14.xlsx;от выпуска акций, увеличение долей участия;PostDeyt1;31;;от выпуска акций, увеличение долей участия
T24_000000_t29Ved14.xlsx;другие поступления;DrPost;32;;другие поступления
T24_000000_t29Ved14.xlsx;Платежи по финансовой деятельности – всего;PlPoFin;33;;Платежи по финансовой деятельности – всего
T24_000000_t29Ved14.xlsx;собственникам (участникам) в связи с выкупом у них акций (долей участия) организации или их выходом из состава участников;PlPoFin1;34;;собственникам (участникам) в связи с выкупом у них акций (долей участия) организации или их выходом из состава участников
T24_000000_t29Ved14.xlsx;на уплату дивидендов и иных платежей по распределению прибыли в пользу собственников участников);PlPoFin2;35;;на уплату дивидендов и иных платежей по распределению прибыли в пользу собственников участников)
T24_000000_t29Ved14.xlsx;в связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов;PlPoFin3;36;;в связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов
T24_000000_t29Ved14.xlsx;Платежи по финансовой деятельности прочие платежи;PrPoFin;37;;прочие платежи
T24_000000_t29Ved14.xlsx;Сальдо денежных потоков от финансовых операций;SaldoDenPot;38;;Сальдо денежных потоков от финансовых операций
T24_000000_t29Ved14.xlsx;Сальдо денежных потоков за отчетный период;SaldoDenPotOtch;39;;Сальдо денежных потоков за отчетный период
T24_000000_t29Ved14.xlsx;Величина влияния изменений курса иностранной валюты по отношению к рублю;Velch;40;;Величина влияния изменений курса иностранной валюты по отношению к рублю
T24_000000_t29Ved14.xlsx;Поступило денежных средств – всего;PostSredst;41;;Поступило денежных средств – всего
T24_000000_t35Ved14.xlsx;Чистые активы;ChiAkt;5;6;"""2022"",""предыдущий"",""Чистые активы""";"""2023"",""конец"",""Чистые активы"""
T24_000000_t35Ved14.xlsx;Себестоимость продаж;SebPro;7;;Себестоимость продаж;Себестоимость продаж
T24_000000_t35Ved14.xlsx;Прибыль (убыток) от продаж;Pri(ubOtPro;8;;Прибыль (убыток) от продаж;Прибыль (убыток) от продаж
T24_000000_t35Ved14.xlsx;Чистая прибыль (убыток) отчетного периода;ChiPri(ubOtcPer;9;;Чистая прибыль (убыток) отчетного периода;Чистая прибыль (убыток) отчетного периода
T24_000000_t35Ved14.xlsx;Прибыль, убыток (-) до налогообложения к чистым активам, в %;PriUby(-DoNalKChiAktV%;10;;Прибыль, убыток (-) до налогообложения к чистым активам, в %;Прибыль, убыток (-) до налогообложения к чистым активам, в %
